date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,DailyVaccinated,TotalVaccinated,Quebec Vaccine,Mean Temp
05-04-2021,317364,10697,12.66780466,9.277718607,0.003952799,0.000374007,51.51,96.8,93.785,487,24804,126,291290,8118,221.8623417,2136.91952,43985,1305840,26,8.4
06-04-2021,318532,10701,12.67147822,9.278092474,0.003673561,0.000373867,44.63,67.745,72.145,485,31079,120,291906,8518,239.9147267,1896.556685,43486,1349326,18,8.5
07-04-2021,319802,10709,12.67545733,9.278839788,0.003979113,0.000747314,55.255,88.265,91.355,487,40181,119,292648,9038,213.4773422,1948.264357,42323,1391649,29,10.3
08-04-2021,321411,10718,12.68047596,9.27967985,0.005018624,0.000840062,55.99,100.76,99.96,503,42286,121,293567,9428,202.6489245,1998.123235,49031,1440680,33,13.3
09-04-2021,323094,10726,12.68569858,9.28042598,0.005222625,0.000746129,52.575,86.345,98.005,501,40340,124,294560,9714,220.8474816,1763.220968,47667,1488347,100,15.9
10-04-2021,324848,10737,12.69111266,9.281450999,0.005414078,0.00102502,55.095,91.425,99.4,502,38741,128,295453,9966,189.4285129,1867.92534,41194,1529541,91,15.9
11-04-2021,326383,10742,12.69582682,9.28191657,0.004714158,0.000465571,57.61,105.66,107.4,503,30828,123,296396,10271,216.5042433,2081.623952,22674,1552215,68,12.4
12-04-2021,327982,10744,12.70071401,9.282102738,0.00488719,0.000186168,51.345,106.82,96.325,514,27470,121,297384,10447,185.5327231,1552.823861,39982,1592197,58,12.8
13-04-2021,329472,10756,12.70524665,9.283219017,0.004532644,0.001116279,45.17,86.385,73.13,543,30533,123,298298,10795,203.6361621,1840.421498,44113,1636310,62,12.1
14-04-2021,331031,10763,12.70996731,9.283869605,0.004720653,0.000650588,56.905,99.875,86.355,566,38376,132,299241,11452,200.3597273,1824.02535,48736,1685046,45,12.4
15-04-2021,332544,10778,12.71452746,9.285262298,0.004560156,0.001392693,57.3,104.025,98.58,569,44634,134,300471,11897,195.293713,1918.269137,69703,1754749,48,7.3
16-04-2021,334071,10785,12.71910882,9.285911559,0.004581363,0.00064926,56.33,103.51,100.3,583,49326,138,301740,12371,199.5905278,2033.771732,74262,1829011,40,6
17-04-2021,335608,10793,12.72369909,9.286653055,0.004590267,0.000741496,54.955,110.295,105.695,608,39836,139,303039,12371,168.1119733,2166.785895,61465,1890476,56,6.5
18-04-2021,336952,10802,12.72769577,9.287486581,0.003996675,0.000833526,60.795,128.06,119.315,630,27132,142,304267,12971,235.8381217,2114.813475,54401,1944877,51,9
19-04-2021,338044,10816,12.73093134,9.288781798,0.003235578,0.001295217,56.175,129.47,102.06,643,28046,150,305463,13253,191.9929659,2191.908077,60229,2005106,34,12.5
20-04-2021,339180,10833,12.73428622,9.29035231,0.003354875,0.001570512,46.625,93.66,82.01,660,44183,152,306608,13660,189.0562442,2065.943197,70702,2075808,45,7.7
21-04-2021,340397,10838,12.73786786,9.290813756,0.003581644,0.000461446,50.045,91.215,95.315,661,42876,159,307748,14018,221.2645319,2445.229767,70117,2145925,45,0.9
